Paí	Añ	Mes	Variación IP
Chile	2018	Enero	0,5
Chile	2018	Febrero	0
Chile	2018	Marzo	0,2
Chile	2018	Abril	0,3
Chile	2018	Mayo	0,3
Chile	2018	Junio	0,1
Chile	2018	Julio	0,4
Chile	2018	Agosto	0,2
Chile	2018	Septiembre	0,3
Chile	2018	Octubre	0,4
Chile	2018	Noviembre	0
Chile	2018	Diciembre	-0,1
Chile	2019	Enero	0,1
Chile	2019	Febrero	0
Chile	2019	Marzo	0,5
Chile	2019	Abril	0,3
Chile	2019	Mayo	0,6
Chile	2019	Junio	0
Chile	2019	Julio	0,2
Chile	2019	Agosto	0,2
Chile	2019	Septiembre	0
Chile	2019	Octubre	0,8
Chile	2019	Noviembre	0,1
Chile	2019	Diciembre	0,1
Chile	2020	Enero	0,6
Chile	2020	Febrero	0,4
Chile	2020	Marzo	0,3
Chile	2020	Abril	0
Chile	2020	Mayo	-0,1
Chile	2020	Junio	-0,1
Chile	2020	Julio	0,1
Chile	2020	Agosto	0,1
Chile	2020	Septiembre	0,6
Chile	2020	Octubre	0,7
Chile	2020	Noviembre	-0,1
Chile	2020	Diciembre	0,3
Chile	2021	Enero	0,7
Chile	2021	Febrero	0,2
Chile	2021	Marzo	0,4
Chile	2021	Abril	0,4
Chile	2021	Mayo	0,3
Chile	2021	Junio	0,1
Chile	2021	Julio	0,8
Chile	2021	Agosto	0,4
Chile	2021	Septiembre	NaN
Chile	2021	Octubre	NaN
Chile	2021	Noviembre	NaN
Chile	2021	Diciembre	NaN
Francia	2018	Enero	-0,1
Francia	2018	Febrero	0
Francia	2018	Marzo	1
Francia	2018	Abril	0,2
Francia	2018	Mayo	0,4
Francia	2018	Junio	0
Francia	2018	Julio	-0,1
Francia	2018	Agosto	0,5
Francia	2018	Septiembre	-0,2
Francia	2018	Octubre	0,1
Francia	2018	Noviembre	-0,2
Francia	2018	Diciembre	0
Francia	2019	Enero	-0,4
Francia	2019	Febrero	0
Francia	2019	Marzo	0,8
Francia	2019	Abril	0,3
Francia	2019	Mayo	0,1
Francia	2019	Junio	0,2
Francia	2019	Julio	-0,2
Francia	2019	Agosto	0,5
Francia	2019	Septiembre	-0,3
Francia	2019	Octubre	0
Francia	2019	Noviembre	0,1
Francia	2019	Diciembre	0,4
Francia	2020	Enero	-0,4
Francia	2020	Febrero	0
Francia	2020	Marzo	0,1
Francia	2020	Abril	0
Francia	2020	Mayo	0,1
Francia	2020	Junio	0,1
Francia	2020	Julio	0,4
Francia	2020	Agosto	-0,1
Francia	2020	Septiembre	-0,5
Francia	2020	Octubre	0
Francia	2020	Noviembre	0,2
Francia	2020	Diciembre	0,2
Francia	2021	Enero	0,2
Francia	2021	Febrero	0
Francia	2021	Marzo	0,6
Francia	2021	Abril	0,1
