País;Año;Mes;Variación IPC;Variación IPC 12m
Chile;2018;Enero;0,5;2,2
Chile;2018;Febrero;0;2
Chile;2018;Marzo;0,2;1,8
Chile;2018;Abril;0,3;1,9
Chile;2018;Mayo;0,3;2
Chile;2018;Junio;0,1;2,5
Chile;2018;Julio;0,4;2,7
Chile;2018;Agosto;0,2;2,6
Chile;2018;Septiembre;0,3;3,1
Chile;2018;Octubre;0,4;2,9
Chile;2018;Noviembre;0;2,8
Chile;2018;Diciembre;-0,1;2,6
Chile;2019;Enero;0,1;2,6
Chile;2019;Febrero;0;2,6
Chile;2019;Marzo;0,5;2,8
Chile;2019;Abril;0,3;2,7
Chile;2019;Mayo;0,6;3
Chile;2019;Junio;0;2,9
Chile;2019;Julio;0,2;2,7
Chile;2019;Agosto;0,2;2,7
Chile;2019;Septiembre;0;2,3
Chile;2019;Octubre;0,8;2,7
Chile;2019;Noviembre;0,1;2,8
Chile;2019;Diciembre;0,1;3
Chile;2020;Enero;0,6;3,5
Chile;2020;Febrero;0,4;3,9
Chile;2020;Marzo;0,3;3,7
Chile;2020;Abril;0;3,4
Chile;2020;Mayo;-0,1;2,8
Chile;2020;Junio;-0,1;2,6
Chile;2020;Julio;0,1;2,5
Chile;2020;Agosto;0,1;2,4
Chile;2020;Septiembre;0,6;3,1
Chile;2020;Octubre;0,7;2,9
Chile;2020;Noviembre;-0,1;2,7
Chile;2020;Diciembre;0,3;3
Chile;2021;Enero;0,7;3,1
Chile;2021;Febrero;0,2;2,8
Chile;2021;Marzo;0,4;2,9
Chile;2021;Abril;0,4;3,3
Chile;2021;Mayo;0,3;3,6
Chile;2021;Junio;0,1;3,8
Chile;2021;Julio;0,8;4,5
Chile;2021;Agosto;0,4;4,8
Francia;2018;Enero;-0,1;
Francia;2018;Febrero;0;
Francia;2018;Marzo;1;
Francia;2018;Abril;0,2;
Francia;2018;Mayo;0,4;
Francia;2018;Junio;0;
Francia;2018;Julio;-0,1;
Francia;2018;Agosto;0,5;
Francia;2018;Septiembre;-0,2;
Francia;2018;Octubre;0,1;
Francia;2018;Noviembre;-0,2;
Francia;2018;Diciembre;0;
Francia;2019;Enero;-0,4;
Francia;2019;Febrero;0;
Francia;2019;Marzo;0,8;
Francia;2019;Abril;0,3;
Francia;2019;Mayo;0,1;
Francia;2019;Junio;0,2;
Francia;2019;Julio;-0,2;
Francia;2019;Agosto;0,5;
Francia;2019;Septiembre;-0,3;
Francia;2019;Octubre;0;
Francia;2019;Noviembre;0,1;
Francia;2019;Diciembre;0,4;
Francia;2020;Enero;-0,4;
Francia;2020;Febrero;0;
Francia;2020;Marzo;0,1;
Francia;2020;Abril;0;
Francia;2020;Mayo;0,1;
Francia;2020;Junio;0,1;
Francia;2020;Julio;0,4;
Francia;2020;Agosto;-0,1;
Francia;2020;Septiembre;-0,5;
Francia;2020;Octubre;0;
Francia;2020;Noviembre;0,2;
Francia;2020;Diciembre;0,2;
Francia;2021;Enero;0,2;
Francia;2021;Febrero;0;
Francia;2021;Marzo;0,6;
Francia;2021;Abril;0,1;
Francia;2021;Mayo;0,3;
Francia;2021;Junio;0,1;
Francia;2021;Julio;0,1;
Francia;2021;Agosto;0,6;
Perú;2018;Enero;0,13;
Perú;2018;Febrero;0,25;
Perú;2018;Marzo;0,49;
Perú;2018;Abril;-0,14;
Perú;2018;Mayo;0,02;
Perú;2018;Junio;0,33;
Perú;2018;Julio;0,38;
Perú;2018;Agosto;0,13;
Perú;2018;Septiembre;0,19;
Perú;2018;Octubre;0,08;
Perú;2018;Noviembre;0,12;
Perú;2018;Diciembre;0,18;
Perú;2019;Enero;0,07;
Perú;2019;Febrero;0,13;
Perú;2019;Marzo;0,73;
Perú;2019;Abril;0,2;
Perú;2019;Mayo;0,15;
Perú;2019;Junio;-0,09;
Perú;2019;Julio;0,2;
Perú;2019;Agosto;0,06;
Perú;2019;Septiembre;0,01;
Perú;2019;Octubre;0,11;
Perú;2019;Noviembre;0,11;
Perú;2019;Diciembre;0,21;
Perú;2020;Enero;0,05;
Perú;2020;Febrero;0,14;
Perú;2020;Marzo;0,65;
Perú;2020;Abril;0,1;
Perú;2020;Mayo;0,2;
Perú;2020;Junio;-0,27;
Perú;2020;Julio;0,46;
Perú;2020;Agosto;-0,11;
Perú;2020;Septiembre;0,14;
Perú;2020;Octubre;0,02;
Perú;2020;Noviembre;0,52;
Perú;2020;Diciembre;0,05;
Perú;2021;Enero;0,74;
Perú;2021;Febrero;-0,13;
Perú;2021;Marzo;0,84;
Perú;2021;Abril;-0,1;
Perú;2021;Mayo;0,27;
Perú;2021;Junio;0,52;
Perú;2021;Julio;1,01;
Perú;2021;Agosto;0,98;
Argentina;2018;Enero;3,1;
Argentina;2018;Febrero;1,8;
Argentina;2018;Marzo;2,4;
Argentina;2018;Abril;2,3;
Argentina;2018;Mayo;2,7;
Argentina;2018;Junio;2,1;
Argentina;2018;Julio;3,7;
Argentina;2018;Agosto;3,1;
Argentina;2018;Septiembre;3,9;
Argentina;2018;Octubre;6,5;
Argentina;2018;Noviembre;5,4;
Argentina;2018;Diciembre;3,2;
Argentina;2019;Enero;2,6;
Argentina;2019;Febrero;2,9;
Argentina;2019;Marzo;3,8;
Argentina;2019;Abril;4,7;
Argentina;2019;Mayo;3,4;
Argentina;2019;Junio;3,1;
Argentina;2019;Julio;2,7;
Argentina;2019;Agosto;2,2;
Argentina;2019;Septiembre;4;
Argentina;2019;Octubre;5,9;
Argentina;2019;Noviembre;3,3;
Argentina;2019;Diciembre;4,3;
Argentina;2020;Enero;3,7;
Argentina;2020;Febrero;2,3;
Argentina;2020;Marzo;2;
Argentina;2020;Abril;3,3;
Argentina;2020;Mayo;1,5;
Argentina;2020;Junio;1,5;
Argentina;2020;Julio;2,2;
Argentina;2020;Agosto;1,9;
Argentina;2020;Septiembre;2,7;
Argentina;2020;Octubre;2,8;
Argentina;2020;Noviembre;3,8;
Argentina;2020;Diciembre;3,2;
Argentina;2021;Enero;4;
