Año;Mes;País;Precio_Cu_USD_lb_x10000;Variación IPC;USD_CLP;Oil_Brent_USD;Oil_Brent_Euro;Variación IPC 12m
2018;Enero;Chile;31955;0,5;605,53;69,08;56,62;2,2
2018;Febrero;Chile;31275;0;596,84;65,32;52,9;2
2018;Marzo;Chile;30255;0,2;603,45;66,02;53,52;1,8
2018;Abril;Chile;30697;0,3;600,55;72,11;58,74;1,9
2018;Mayo;Chile;30650;0,3;626,12;76,98;65,17;2
2018;Junio;Chile;29630;0,1;636,15;74,41;63,72;2,5
2018;Julio;Chile;28315;0,4;652,41;74,25;63,54;2,7
2018;Agosto;Chile;26666;0,2;656,25;72,53;62,8;2,6
2018;Septiembre;Chile;28050;0,3;680,91;78,89;67,66;3,1
2018;Octubre;Chile;26590;0,4;676,84;81,03;70,56;2,9
2018;Noviembre;Chile;27827;0;677,61;64,75;56,96;2,8
2018;Diciembre;Chile;26304;-0,1;681,99;57,36;50,39;2,6
2019;Enero;Chile;27845;0,1;677,06;59,41;52,04;2,6
2019;Febrero;Chile;29484;0;656,3;63,96;56,35;2,6
2019;Marzo;Chile;29360;0,5;667,68;66,14;58,52;2,8
2019;Abril;Chile;29035;0,3;667,4;71,23;63,38;2,7
2019;Mayo;Chile;26400;0,6;692;71,32;63,76;3
2019;Junio;Chile;27119;0;692,41;64,22;56,87;2,9
2019;Julio;Chile;26660;0,2;686,06;63,92;56,98;2,7
2019;Agosto;Chile;25478;0,2;713,7;59,04;53,06;2,7
2019;Septiembre;Chile;25785;0;718,44;62,83;57,1;2,3
2019;Octubre;Chile;26380;0,8;721,03;59,71;54,02;2,7
2019;Noviembre;Chile;26484;0,1;776,53;63,21;57,2;2,8
2019;Diciembre;Chile;27964;0,1;770,39;67,31;60,57;3
2020;Enero;Chile;25170;0,6;772,65;63,65;57,34;3,5
2020;Febrero;Chile;25412;0,4;796,38;55,66;51,04;3,9
2020;Marzo;Chile;22280;0,3;839,38;32,01;28,93;3,7
2020;Abril;Chile;23460;0;853,38;18,38;16,92;3,4
2020;Mayo;Chile;24255;-0,1;821,81;29,38;26,95;2,8
2020;Junio;Chile;27255;-0,1;793,72;40,27;35,78;2,6
2020;Julio;Chile;28680;0,1;784,73;43,24;37,72;2,5
2020;Agosto;Chile;30574;0,1;784,66;44,74;37,83;2,4
2020;Septiembre;Chile;30325;0,6;773,4;40,91;34,69;3,1
2020;Octubre;Chile;30475;0,7;788,27;40,19;34,13;2,9
2020;Noviembre;Chile;34257;-0,1;762,88;42,69;36,06;2,7
2020;Diciembre;Chile;35180;0,3;734,73;49,99;41,08;3
2021;Enero;Chile;35560;0,7;723,56;54,77;45;3,1
2021;Febrero;Chile;40929;0,2;722,63;62,28;51,48;2,8
2021;Marzo;Chile;39955;0,4;726,37;65,41;54,97;2,9
2021;Abril;Chile;44702;0,4;707,85;64,81;54,1;3,3
2021;Mayo;Chile;46775;0,3;712,26;68,53;56,42;3,6
2021;Junio;Chile;42905;0,1;726,54;73,16;60,23;3,8
2021;Julio;Chile;44825;0,8;750,44;75,17;61,89;4,5
2021;Agosto;Chile;43720;0,4;779,83;70,75;58,25;4,8
2018;Enero;Francia;;-0,1;;;;1,3
2018;Febrero;Francia;;0;;;;1,2
2018;Marzo;Francia;;1;;;;1,6
2018;Abril;Francia;;0,2;;;;1,6
2018;Mayo;Francia;;0,4;;;;2
2018;Junio;Francia;;0;;;;2
2018;Julio;Francia;;-0,1;;;;2,3
2018;Agosto;Francia;;0,5;;;;2,3
2018;Septiembre;Francia;;-0,2;;;;2,2
2018;Octubre;Francia;;0,1;;;;2,2
2018;Noviembre;Francia;;-0,2;;;;1,9
2018;Diciembre;Francia;;0;;;;1,6
2019;Enero;Francia;;-0,4;;;;1,2
2019;Febrero;Francia;;0;;;;1,3
2019;Marzo;Francia;;0,8;;;;1,1
2019;Abril;Francia;;0,3;;;;1,3
2019;Mayo;Francia;;0,1;;;;0,9
2019;Junio;Francia;;0,2;;;;1,2
2019;Julio;Francia;;-0,2;;;;1,1
2019;Agosto;Francia;;0,5;;;;1
2019;Septiembre;Francia;;-0,3;;;;0,9
2019;Octubre;Francia;;0;;;;0,8
2019;Noviembre;Francia;;0,1;;;;1
2019;Diciembre;Francia;;0,4;;;;1,5
2020;Enero;Francia;;-0,4;;;;1,5
2020;Febrero;Francia;;0;;;;1,4
2020;Marzo;Francia;;0,1;;;;0,7
2020;Abril;Francia;;0;;;;0,3
2020;Mayo;Francia;;0,1;;;;0,4
2020;Junio;Francia;;0,1;;;;0,2
2020;Julio;Francia;;0,4;;;;0,8
